Sat Oct 29 11:46:30 2022,Experiment LED arduino 33IoT
time(s),Vinput(V),V0,V1,V2
0.005705118179321289,0,0.03,0.01,0.0
0.010970115661621094,0,0.04,0.01,0.0
0.016335248947143555,1,0.02,0.01,0.0
0.021474123001098633,2,0.04,0.0,0.0
0.02695608139038086,3,0.14,0.02,0.0
0.03226327896118164,4,0.09,0.01,0.0
0.03754019737243652,5,0.05,0.0,0.0
0.04289817810058594,6,0.09,0.02,0.0
0.04799795150756836,7,0.08,0.01,0.0
0.053312063217163086,8,0.1,0.02,0.0
0.0586392879486084,9,0.09,0.02,0.0
0.06388711929321289,10,0.09,0.02,0.0
0.06906819343566895,11,0.1,0.03,0.0
0.07433009147644043,12,0.1,0.03,0.0
0.0795290470123291,13,0.08,0.03,0.0
0.08484625816345215,13,0.1,0.04,0.0
0.09024524688720703,14,0.16,0.04,0.0
0.09565520286560059,15,0.12,0.05,0.0
0.1010141372680664,16,0.11,0.05,0.0
0.10628414154052734,17,0.12,0.05,0.0
0.1116030216217041,18,0.14,0.05,0.0
0.11693716049194336,19,0.13,0.06,0.0
0.12220215797424316,20,0.13,0.04,0.0
0.1274721622467041,21,0.14,0.06,0.0
0.1326601505279541,22,0.11,0.06,0.0
0.13799810409545898,23,0.13,0.05,0.0
0.14326810836791992,24,0.12,0.08,0.0
0.1485912799835205,25,0.14,0.07,0.0
0.1539320945739746,26,0.14,0.08,0.01
0.15921616554260254,26,0.15,0.09,0.0
0.16448211669921875,27,0.15,0.08,0.0
0.16994214057922363,28,0.16,0.1,0.0
0.17532610893249512,29,0.16,0.08,0.0
0.18075919151306152,30,0.14,0.09,0.02
0.18619108200073242,31,0.15,0.09,0.0
0.1915130615234375,32,0.16,0.1,0.0
0.1968240737915039,33,0.17,0.09,0.0
0.20204615592956543,34,0.17,0.1,0.01
0.20736217498779297,35,0.17,0.11,0.0
0.21282410621643066,36,0.18,0.11,0.0
0.21818804740905762,37,0.17,0.11,0.0
0.2236630916595459,38,0.19,0.11,0.0
0.22885513305664062,39,0.17,0.13,0.0
0.23414015769958496,40,0.18,0.11,0.0
0.23949909210205078,40,0.18,0.12,0.0
0.2448441982269287,41,0.18,0.13,0.0
0.2501802444458008,42,0.19,0.13,0.01
0.2555210590362549,43,0.2,0.14,0.03
0.2608299255371094,44,0.19,0.13,0.0
0.2660863399505615,45,0.19,0.13,0.0
0.2716062068939209,46,0.21,0.14,0.0
0.2768821716308594,47,0.19,0.14,0.0
0.28232812881469727,48,0.22,0.14,0.0
0.287642240524292,49,0.21,0.16,0.0
0.2929842472076416,50,0.21,0.15,0.0
0.2980620861053467,51,0.22,0.14,0.0
0.30325913429260254,52,0.19,0.17,0.0
0.3085193634033203,53,0.21,0.2,0.0
0.31386232376098633,53,0.22,0.16,0.0
0.3191392421722412,54,0.24,0.17,0.0
0.32437825202941895,55,0.24,0.17,0.0
0.3297290802001953,56,0.25,0.18,0.0
0.33507513999938965,57,0.22,0.19,0.0
0.3403301239013672,58,0.23,0.18,0.0
0.3456079959869385,59,0.24,0.18,0.0
0.3508932590484619,60,0.26,0.18,0.0
0.35620832443237305,61,0.25,0.24,0.0
0.36154603958129883,62,0.25,0.19,0.0
0.3669440746307373,63,0.25,0.2,0.01
0.3722660541534424,64,0.25,0.2,0.0
0.3774902820587158,65,0.27,0.2,0.04
0.3828401565551758,66,0.27,0.2,0.01
0.3881871700286865,67,0.26,0.21,0.0
0.39359521865844727,67,0.23,0.21,0.0
0.3989591598510742,68,0.26,0.21,0.0
0.4042191505432129,69,0.28,0.2,0.0
0.4096231460571289,70,0.26,0.22,0.0
0.4149949550628662,71,0.26,0.24,0.0
0.4201679229736328,72,0.28,0.26,0.0
0.4254732131958008,73,0.28,0.22,0.0
0.4305710792541504,74,0.28,0.23,0.0
0.4358091354370117,75,0.28,0.25,0.0
0.4412961006164551,76,0.31,0.24,0.0
0.446514368057251,77,0.28,0.24,0.0
0.45195913314819336,78,0.29,0.24,0.0
0.45806121826171875,79,0.3,0.24,0.0
0.4633932113647461,80,0.3,0.25,0.0
0.4687812328338623,80,0.31,0.25,0.0
0.4740450382232666,81,0.31,0.25,0.0
0.47925710678100586,82,0.3,0.24,0.0
0.4846842288970947,83,0.31,0.25,0.0
0.49034810066223145,84,0.31,0.27,0.0
0.49599409103393555,85,0.31,0.26,0.0
0.5015041828155518,86,0.31,0.27,0.0
0.5070581436157227,87,0.34,0.27,0.0
0.5124661922454834,88,0.31,0.28,0.0
0.5180070400238037,89,0.34,0.27,0.0
0.5234870910644531,90,0.35,0.28,0.0
0.5291032791137695,91,0.37,0.28,0.0
0.534649133682251,92,0.34,0.29,0.0
0.5400400161743164,93,0.31,0.28,0.0
0.5453932285308838,94,0.34,0.29,0.0
0.550814151763916,94,0.34,0.29,0.0
0.5562081336975098,95,0.34,0.29,0.0
0.5615112781524658,96,0.35,0.29,0.0
0.5668742656707764,97,0.34,0.3,0.0
0.5722532272338867,98,0.35,0.31,0.0
0.5777032375335693,99,0.33,0.31,0.0
0.5831942558288574,100,0.37,0.3,0.0
0.5887212753295898,101,0.36,0.32,0.0
0.5943031311035156,102,0.34,0.32,0.0
0.6000242233276367,103,0.37,0.32,0.0
0.6055951118469238,104,0.37,0.32,0.0
0.61104416847229,105,0.38,0.33,0.0
0.6165521144866943,106,0.36,0.33,0.0
0.6220769882202148,107,0.39,0.34,0.0
0.6274521350860596,107,0.39,0.34,0.0
0.6328492164611816,108,0.35,0.39,0.0
0.6381051540374756,109,0.37,0.34,0.0
0.6435141563415527,110,0.37,0.35,0.0
0.6490042209625244,111,0.4,0.35,0.0
0.6543962955474854,112,0.4,0.35,0.0
0.6598773002624512,113,0.38,0.35,0.0
0.6654491424560547,114,0.4,0.34,0.0
0.6709771156311035,115,0.39,0.36,0.0
0.6765260696411133,116,0.41,0.35,0.0
0.6821420192718506,117,0.42,0.37,0.0
0.6876730918884277,118,0.41,0.35,0.0
0.693228006362915,119,0.41,0.37,0.01
0.6987571716308594,120,0.42,0.44,0.0
0.7041699886322021,121,0.41,0.37,0.0
0.709705114364624,121,0.41,0.38,0.0
0.7155473232269287,122,0.43,0.38,0.0
0.7210941314697266,123,0.39,0.37,0.0
0.7266602516174316,124,0.43,0.39,0.0
0.7322361469268799,125,0.42,0.39,0.0
0.7377901077270508,126,0.43,0.39,0.0
0.7432730197906494,127,0.44,0.4,0.0
0.7489721775054932,128,0.45,0.41,0.0
0.7544591426849365,129,0.44,0.4,0.0
