Sat Oct 29 22:25:44 2022,Experiment LED arduino 33IoT
time(s),Vinput(V),V0,V1,V2
0.006248950958251953,0,0.01,0.01,0.0
0.011493921279907227,0,0.0,0.01,0.03
0.016843080520629883,1,0.02,0.02,0.0
0.022192955017089844,2,0.01,0.0,0.0
0.0274660587310791,3,0.01,0.0,0.0
0.03272080421447754,4,0.07,0.01,0.0
0.038008928298950195,5,0.03,0.01,0.0
0.043393850326538086,6,0.07,0.01,0.0
0.04861807823181152,7,0.08,0.01,0.0
0.05392599105834961,8,0.09,0.02,0.0
0.05922198295593262,9,0.09,0.03,0.0
0.0646207332611084,10,0.06,0.01,0.0
0.07001590728759766,11,0.1,0.03,0.0
0.07544088363647461,12,0.08,0.04,0.0
0.08077287673950195,13,0.1,0.04,0.0
0.08619093894958496,13,0.1,0.03,0.0
0.09155678749084473,14,0.1,0.04,0.0
0.09693074226379395,15,0.11,0.05,0.0
0.1022939682006836,16,0.1,0.05,0.0
0.10768890380859375,17,0.1,0.05,0.0
0.11310386657714844,18,0.12,0.05,0.0
0.1183938980102539,19,0.1,0.05,0.0
0.12381792068481445,20,0.1,0.05,0.0
0.1291520595550537,21,0.12,0.05,0.0
0.1345059871673584,22,0.1,0.09,0.0
0.13987374305725098,23,0.12,0.07,0.0
0.14531278610229492,24,0.12,0.11,0.0
0.15076994895935059,25,0.14,0.07,0.0
0.15620207786560059,26,0.14,0.08,0.0
0.16176271438598633,26,0.14,0.07,0.0
0.16741085052490234,27,0.12,0.08,0.0
0.17284679412841797,28,0.15,0.09,0.0
0.17828083038330078,29,0.13,0.09,0.0
0.18370270729064941,30,0.11,0.09,0.0
0.1891930103302002,31,0.15,0.1,0.0
0.19458675384521484,32,0.15,0.09,0.0
0.1999497413635254,33,0.15,0.1,0.0
0.20544075965881348,34,0.13,0.1,0.01
0.21112990379333496,35,0.15,0.11,0.03
0.21661686897277832,36,0.15,0.1,0.0
0.2220008373260498,37,0.17,0.09,0.0
0.22784066200256348,38,0.16,0.12,0.0
0.2331688404083252,39,0.16,0.12,0.0
0.238433837890625,40,0.19,0.13,0.0
0.24381589889526367,40,0.14,0.12,0.0
0.24918079376220703,41,0.17,0.13,0.0
0.25455594062805176,42,0.18,0.13,0.0
0.2600138187408447,43,0.19,0.13,0.0
0.26543498039245605,44,0.18,0.14,0.0
0.2707858085632324,45,0.17,0.13,0.0
0.27631592750549316,46,0.2,0.14,0.0
0.28164196014404297,47,0.18,0.21,0.0
0.28713297843933105,48,0.19,0.14,0.0
0.2925388813018799,49,0.21,0.15,0.0
0.29801487922668457,50,0.2,0.15,0.02
0.30351686477661133,51,0.2,0.16,0.0
0.30893683433532715,52,0.2,0.14,0.0
0.3144338130950928,53,0.23,0.16,0.0
0.3198659420013428,53,0.2,0.16,0.0
0.32533788681030273,54,0.21,0.16,0.0
0.33089780807495117,55,0.22,0.15,0.0
0.33635783195495605,56,0.2,0.17,0.0
0.34195590019226074,57,0.22,0.18,0.0
0.34737682342529297,58,0.22,0.18,0.01
0.3527548313140869,59,0.23,0.17,0.0
0.3582909107208252,60,0.23,0.18,0.08
0.3636469841003418,61,0.24,0.19,0.0
0.36906981468200684,62,0.23,0.19,0.0
0.3745899200439453,63,0.25,0.18,0.1
0.3801848888397217,64,0.22,0.19,0.0
0.3856236934661865,65,0.27,0.2,0.0
0.39099788665771484,66,0.25,0.21,0.0
0.39662790298461914,67,0.26,0.21,0.0
0.4023008346557617,67,0.23,0.22,0.0
0.4078037738800049,68,0.27,0.22,0.0
0.4134788513183594,69,0.26,0.22,0.0
0.41899991035461426,70,0.25,0.22,0.0
0.4245147705078125,71,0.26,0.22,0.0
0.43018388748168945,72,0.26,0.22,0.0
0.4355950355529785,73,0.27,0.22,0.0
0.44121766090393066,74,0.25,0.24,0.0
0.44669079780578613,75,0.26,0.23,0.0
0.4522697925567627,76,0.3,0.23,0.01
0.45766186714172363,77,0.26,0.24,0.0
0.46319079399108887,78,0.27,0.24,0.0
0.46863698959350586,79,0.26,0.24,0.0
0.47437596321105957,80,0.29,0.26,0.0
0.47980690002441406,80,0.27,0.25,0.0
0.48558592796325684,81,0.29,0.25,0.0
0.49129199981689453,82,0.28,0.26,0.0
0.4968259334564209,83,0.31,0.26,0.0
0.5022809505462646,84,0.3,0.25,0.0
0.5077629089355469,85,0.31,0.25,0.0
0.5132050514221191,86,0.31,0.27,0.0
0.5185396671295166,87,0.32,0.26,0.0
0.5238997936248779,88,0.3,0.27,0.0
0.5292198657989502,89,0.32,0.27,0.0
0.5345690250396729,90,0.32,0.28,0.0
0.5399208068847656,91,0.32,0.36,0.0
0.54522705078125,92,0.31,0.28,0.0
0.5505528450012207,93,0.33,0.29,0.0
0.5562019348144531,94,0.34,0.29,0.0
0.561694860458374,94,0.33,0.29,0.0
0.5669147968292236,95,0.33,0.3,0.0
